Dataset,Model,Step,MAE,RMSE,MAPE
PEMS07,STNorm,0,20.3352,34.2530,0.0847

PEMS07,GTS,3,20.4796,32.3621,0.0868
PEMS07,GTS,6,22.5303,35.4327,0.0957
PEMS07,GTS,12,25.8048,39.9619,0.1119
PEMS07,GTS,0,22.5046,35.4557,0.0960

PEMS07,STID,3,18.3807,30.4093,0.0780
PEMS07,STID,6,19.6767,32.9645,0.0832
PEMS07,STID,12,21.5368,36.1648,0.0926
PEMS07,STID,0,19.6106,32.8297,0.0833

PEMS07,STWA,3,19.4764,31.4855,0.0856
PEMS07,STWA,6,20.8449,34.0152,0.0896
PEMS07,STWA,12,23.0205,37.4370,0.1010
PEMS07,STWA,0,20.8150,33.9504,0.0903

PEMS07,MegaCRN,3,18.4285,30.2114,0.0775
PEMS07,MegaCRN,6,19.7486,32.7774,0.0829
PEMS07,MegaCRN,12,21.7972,36.3350,0.0921
PEMS07,MegaCRN,0,19.6995,32.7212,0.0829

PEMS07,STAEformer,3,18.0523,30.3209,0.0754
PEMS07,STAEformer,6,19.3644,32.9353,0.0807
PEMS07,STAEformer,12,21.3089,36.3794,0.0890
PEMS07,STAEformer,0,19.3273,32.8608,0.0806

PEMS08,HistoricalInertia,3,34.6463,50.4415,0.2160
PEMS08,HistoricalInertia,6,34.6596,50.4513,0.2163
PEMS08,HistoricalInertia,12,34.6820,50.4661,0.2168
PEMS08,HistoricalInertia,0,34.6608,50.4515,0.2163

PEMS08,MLP,3,16.8483,26.0348,0.1048
PEMS08,MLP,6,20.1775,31.2063,0.1257
PEMS08,MLP,12,27.4812,41.0479,0.1764
PEMS08,MLP,0,20.7761,32.2782,0.1309

PEMS08,LSTM,3,16.3266,25.5625,0.1022
PEMS08,LSTM,6,19.2276,30.3326,0.1213
PEMS08,LSTM,12,25.6750,39.4805,0.1662
PEMS08,LSTM,0,19.7389,31.3070,0.1256

PEMS08,GRU,3,16.1065,25.5172,0.1007
PEMS08,GRU,6,18.8843,30.2423,0.1190
PEMS08,GRU,12,25.0339,39.2252,0.1621
PEMS08,GRU,0,19.3699,31.1970,0.1231

PEMS08,WaveNet,3,16.6140,25.8329,0.1037
PEMS08,WaveNet,6,19.6404,30.7377,0.1230
PEMS08,WaveNet,12,26.5569,40.3576,0.1694
PEMS08,WaveNet,0,20.2314,31.8067,0.1276

PEMS08,Transformer,3,15.9696,25.1391,0.0989
PEMS08,Transformer,6,17.9657,28.4047,0.1112
PEMS08,Transformer,12,21.8902,34.1641,0.1373
PEMS08,Transformer,0,18.1158,28.7290,0.1128

PEMS08,Transformer,3,15.2492,24.1060,0.0953
PEMS08,Transformer,6,16.9314,27.0327,0.1056
PEMS08,Transformer,12,19.9288,31.7222,0.1255
PEMS08,Transformer,0,16.9674,27.1548,0.1065

PEMS08,GCLSTM,3,15.7736,24.3373,0.1003
PEMS08,GCLSTM,6,17.2308,26.7435,0.1093
PEMS08,GCLSTM,12,20.4512,31.3291,0.1311
PEMS08,GCLSTM,0,17.4092,27.0061,0.1113

PEMS08,GCGRU,3,15.5485,24.0036,0.0999
PEMS08,GCGRU,6,17.0161,26.4299,0.1083
PEMS08,GCGRU,12,20.0791,30.7967,0.1284
PEMS08,GCGRU,0,17.1507,26.6128,0.1100

PEMS08,STGCN,3,15.1805,23.5106,0.1017
PEMS08,STGCN,6,16.2596,25.4570,0.1067
PEMS08,STGCN,12,18.3535,28.6203,0.1181
PEMS08,STGCN,0,16.3636,25.5783,0.1077

PEMS08,DCRNN,3,14.2105,22.2769,0.0923
PEMS08,DCRNN,6,15.3216,24.3425,0.0997
PEMS08,DCRNN,12,17.0549,27.0317,0.1118
